label,value
"ABE - Allentown, Pennsylvania, USA (United States)",ABE
"ABJ - Abidjan, Ivory Coast (Ivory Coast)",ABJ
"ABQ - Albuquerque, New Mexico, USA (United States)",ABQ
"ABR - Aberdeen, South Dakota, USA (United States)",ABR
"ABV - Abuja, Nigeria (Nigeria)",ABV
"ABY - Albany, Georgia, USA (United States)",ABY
"ABZ - Aberdeen, Scotland, (U.K.) (United Kingdom)",ABZ
"ACA - Acapulco, Mexico (Mexico)",ACA
"ACC - Accra, Ghana (Ghana)",ACC
"ACK - Nantucket, Massachusetts, USA (United States)",ACK
"ACV - Eureka/Arcata, California, USA (United States)",ACV
"ADD - Addis Ababa, Ethiopia (Ethiopia)",ADD
"AEX - Alexandria, Louisiana, USA (United States)",AEX
"AGA - Agadir, Morocco (Morocco)",AGA
"AGP - Malaga, Spain (Spain)",AGP
"AGS - Augusta, Georgia, USA (United States)",AGS
"AGU - Aguascalientes, Mexico (Mexico)",AGU
"AKL - Auckland, New Zealand (New Zealand)",AKL
"ALB - Albany, New York, USA (United States)",ALB
"ALO - Waterloo, Iowa, USA (United States)",ALO
"AMA - Amarillo, Texas, USA (United States)",AMA
"AMM - Amman, Jordan (Jordan)",AMM
"AMS - Amsterdam, Netherlands (Netherlands)",AMS
"ANC - Anchorage, Alaska, USA (United States)",ANC
"ANU - Antigua, West Indies (Antigua And Barbuda)",ANU
"AOI - Ancona, Italy (Italy)",AOI
"AOJ - Aomori, Japan (Japan)",AOJ
"APN - Alpena, Michigan, USA (United States)",APN
"ARN - Stockholm, Sweden (Sweden)",ARN
"ASE - Aspen, Colorado, USA (United States)",ASE
"ATH - Athens, Greece (Greece)",ATH
"ATL - Atlanta, Georgia, USA (United States)",ATL
"ATW - Appleton, Wisconsin, USA (United States)",ATW
"ATY - Watertown, South Dakota, USA (United States)",ATY
"AUA - Aruba, Aruba (Aruba)",AUA
"AUH - Abu Dhabi, United Arab Emirates (United Arab Emirates)",AUH
"AUS - Austin, Texas, USA (United States)",AUS
"AVL - Asheville, North Carolina, USA (United States)",AVL
"AVP - Scranton/Wilkes-Barre, Pa, USA (United States)",AVP
"AXT - Akita, Japan (Japan)",AXT
"AZO - Kalamazoo, Michigan, USA (United States)",AZO
"BCN - Barcelona, Spain (Spain)",BCN
"BDA - Bermuda, Atlantic Ocean (Bermuda-Uk)",BDA
"BDL - Hartford, Ct/Springfield, Ma, U (United States)",BDL
"BDS - Brindisi, Italy (Italy)",BDS
"BES - Brest, France (France)",BES
"BGI - Bridgetown, Barbados (Barbados)",BGI
"BGM - Binghamton, New York, USA (United States)",BGM
"BGO - Bergen, Norway (Norway)",BGO
"BGR - Bangor, Maine, USA (United States)",BGR
"BHM - Birmingham, Alabama, USA (United States)",BHM
"BHX - Birmingham, England, (U.K.) (United Kingdom)",BHX
"BIL - Billings, Montana, USA (United States)",BIL
"BIO - Bilbao, Spain (Spain)",BIO
"BIQ - Biarritz, France (France)",BIQ
"BIS - Bismarck, North Dakota, USA (United States)",BIS
"BJI - Bemidji, Minnesota, USA (United States)",BJI
"BJX - Leon-Guanajuato, Mexico (Mexico)",BJX
"BKK - Bangkok, Thailand (Thailand)",BKK
"BKO - Bamako, Mali (Mali)",BKO
"BLL - Billund, Denmark (Denmark)",BLL
"BLQ - Bologna, Italy (Italy)",BLQ
"BLR - Bengaluru, India (India)",BLR
"BMI - Bloomington, Illinois, USA (United States)",BMI
"BNA - Nashville, Tennessee, USA (United States)",BNA
"BOD - Bordeaux, France (France)",BOD
"BOG - Bogota, Colombia (Colombia)",BOG
"BOI - Boise, Idaho, USA (United States)",BOI
"BOM - Bombay, India (India)",BOM
"BON - Bonaire, Neth. Antilles (Netherlands Antilles-Netherlands)",BON
"BOS - Boston, Massachusetts, USA (United States)",BOS
"BQK - St. Simons Island, Georgia, USA (United States)",BQK
"BQN - Aguadilla, Puerto Rico (United States)",BQN
"BRD - Brainerd, Minnesota, USA (United States)",BRD
"BRE - Bremen, Germany (Germany)",BRE
"BRI - Bari, Italy (Italy)",BRI
"BRO - Brownsville, Texas, USA (United States)",BRO
"BRU - Brussels, Belgium (Belgium)",BRU
"BSB - Brasilia, Brazil (Brazil)",BSB
"BSL - Basel, Switzerland (Switzerland)",BSL
"BTM - Butte, Montana, USA (United States)",BTM
"BTR - Baton Rouge, Louisiana, USA (United States)",BTR
"BTS - Bratislava, Slovakia (Slovakia)",BTS
"BTV - Burlington, Vermont, USA (United States)",BTV
"BUD - Budapest, Hungary (Hungary)",BUD
"BUF - Buffalo, New York, USA (United States)",BUF
"BUR - Burbank, California, USA (United States)",BUR
"BWI - Baltimore, Maryland, USA (United States)",BWI
"BZE - Belize City, Belize (Belize)",BZE
"BZN - Bozeman, Montana, USA (United States)",BZN
"BZV - Brazzaville, Peop. Rep. Of Cong (Congo)",BZV
"CAE - Columbia, South Carolina, USA (United States)",CAE
"CAI - Cairo, Arab Rep. Of Egypt (Egypt)",CAI
"CAK - Akron/Canton, Ohio, USA (United States)",CAK
"CAN - Guangzhou, China (China)",CAN
"CCS - Caracas, Venezuela (Venezuela)",CCS
"CDC - Cedar City, Utah, USA (United States)",CDC
"CDG - Paris, France (France)",CDG
"CFE - Clermont-Ferrand, France (France)",CFE
"CFR - Caen, France (France)",CFR
"CHA - Chattanooga, Tennessee, USA (United States)",CHA
"CHO - Charlottesville, Virginia, USA (United States)",CHO
"CHS - Charleston, South Carolina, USA (United States)",CHS
"CID - Cedar Rapids/Iowa City, Iowa, U (United States)",CID
"CIU - Sault Ste. Marie, Michigan, USA (United States)",CIU
"CJS - Ciudad Juarez, Mexico (Mexico)",CJS
"CKY - Conakry, Guinea (Guinea)",CKY
"CLE - Cleveland, Ohio, USA (United States)",CLE
"CLT - Charlotte, North Carolina, USA (United States)",CLT
"CMH - Columbus, Ohio, USA (United States)",CMH
"CMI - Champaign, Illinois, USA (United States)",CMI
